date,pillar,newsapi_article_count,newsapi_share,nyt_share,wiki_share,wiki_views,newsapi_available,nyt_available,wiki_available,available_source_count,available_weight,newsapi_weight_used,nyt_weight_used,wiki_weight_used,newsapi_share_filled,nyt_share_filled,wiki_share_filled,composite_share_raw,composite_share,popularity_score
2024-12-18,Sports & Athletics,0,,,0.1289970871040305,348433,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.1289970871040305,0.1289970871040305,0.1193728670255593,11.93728670255593
2024-12-19,Business & Finance,0,,,0.0285405062941986,100367,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0285405062941986,0.0285405062941986,0.025652073041202643,2.565207304120264
2024-12-19,Entertainment & Pop Culture,0,,0.4,0.592934584637486,2085144,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.4,0.592934584637486,0.4723504692390572,0.42454638376298187,42.454638376298185
2024-12-19,Lifestyle & Wellness,0,,,0.0625720323114235,220044,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0625720323114235,0.0625720323114235,0.05623944882559406,5.623944882559407
2024-12-19,Politics & Civic Life,0,,0.5,0.2054141852575078,722370,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.5,0.2054141852575078,0.3895303194715654,0.35010802204580066,35.01080220458007
2024-12-19,Science & Technology,0,,,0.0890480744321799,313151,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0890480744321799,0.0890480744321799,0.0800359911616932,8.00359911616932
2024-12-19,Sports & Athletics,0,,0.1,0.0214906170672039,75575,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0214906170672039,0.07055898140020146,0.06341808116272767,6.341808116272767
2024-12-20,Business & Finance,0,,0.1,0.0328672123226354,136246,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0328672123226354,0.07482520462098827,0.050879853014621404,5.08798530146214
2024-12-20,Entertainment & Pop Culture,0,,,0.487566420856927,2021132,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.487566420856927,0.487566420856927,0.33153678568233547,33.153678568233545
2024-12-20,Lifestyle & Wellness,0,,,0.0525972855830887,218034,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0525972855830887,0.0525972855830887,0.03576525013183817,3.576525013183817
2024-12-20,Politics & Civic Life,0,,0.9,0.2141321341735685,887652,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.9,0.2141321341735685,0.6427995503150882,0.4370926455003987,43.709264550039876
2024-12-20,Science & Technology,0,,,0.1399810438064654,580270,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.1399810438064654,0.1399810438064654,0.09518470373428792,9.518470373428793
2024-12-20,Sports & Athletics,0,,,0.0728559032573147,302013,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0728559032573147,0.0728559032573147,0.049540761936518296,4.954076193651829
2024-12-21,Business & Finance,0,,,0.0298955614856876,121977,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0298955614856876,0.0298955614856876,0.028764800526542258,2.876480052654226
2024-12-21,Entertainment & Pop Culture,0,,0.1,0.4228269671557391,1725178,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.4228269671557391,0.22106011268340214,0.2126987997451477,21.26987997451477
2024-12-21,Lifestyle & Wellness,0,,,0.0330013646710966,134649,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0330013646710966,0.0330013646710966,0.03175313072217212,3.175313072217212
2024-12-21,Politics & Civic Life,0,,0.7,0.0873225290335736,356285,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.7,0.0873225290335736,0.4702459483875901,0.45245950340352353,45.24595034035235
2024-12-21,Science & Technology,0,,0.1,0.12651368690602,516189,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.12651368690602,0.10994263258975749,0.1057841946645265,10.578419466452651
2024-12-21,Sports & Athletics,0,,0.1,0.3004398907478829,1225826,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.3004398907478829,0.1751649590304561,0.168539570938088,16.8539570938088
2024-12-22,Business & Finance,0,,,0.0263277140705436,107255,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0263277140705436,0.0263277140705436,0.022317695427182063,2.2317695427182063
2024-12-22,Entertainment & Pop Culture,0,,0.1,0.543443489735984,2213904,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.543443489735984,0.26629130865099393,0.22573202920142116,22.573202920142116
2024-12-22,Lifestyle & Wellness,0,,0.1,0.0332781520352767,135570,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0332781520352767,0.07497930701322876,0.06355908199165065,6.355908199165065
2024-12-22,Politics & Civic Life,0,,0.7,0.0727104425206267,296211,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.7,0.0727104425206267,0.464766415945235,0.3939770573341919,39.397705733419194
2024-12-22,Science & Technology,0,,0.1,0.0630816987592062,256985,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0630816987592062,0.08615563703470232,0.07303312629130329,7.303312629130329
2024-12-22,Sports & Athletics,0,,,0.2611585028783625,1063919,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.2611585028783625,0.2611585028783625,0.221381009754251,22.1381009754251
2024-12-23,Business & Finance,0,,0.1,0.0327895848708515,107920,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0327895848708515,0.0747960943265693,0.04818082333729506,4.818082333729506
